日	A	日曰
日日	AA	昌昍
日日日	AAA	晶
日日日日	AAAA	𣊫𣊭
日日日竹	AAAH	曑
日日日一	AAAM	曡㬪
日日日女	AAAV	曟
日日月廿	AABT	㬈
日日月山山	AABUU	覸
日日火	AAF	焸
日日竹日火	AAHAF	𪂇鷼
日日竹一	AAHM	暒
日日竹一中	AAHML	㫀
日日竹山	AAHU	𣈲
日日十日	AAJA	龧
日日十女	AAJV	暥
日日一	AAM	㫜
日日一土	AAMG	𤦉
日日一竹	AAMH	暘
日日一十	AAMJ	晘
日日一山	AAMU	㫯
日日心竹	AAPH	晹
日日心女	AAPV	暍
日日廿水	AATE	曝
日日女火	AAVF	㬤
日日卜火	AAYF	暻
日月	AB	明
日月日金	ABAC	暝
日月月水	ABBE	曖
日月月手	ABBQ	𣊬
日月月廿	ABBT	盟
日月月山山	ABBUU	覵
日月火	ABF	焽
日月土口	ABGR	晭
日月竹日	ABHA	㿢
日月竹日火	ABHAF	鷳
日月竹火	ABHF	䳟
日月戈大	ABIK	猒
日月十金一	ABJCM	曌
日月十十	ABJJ	暈暉
日月大火	ABKF	㬗
日月大手	ABKQ	晕
日月一水	ABME	暖㬊
日月一土戈	ABMGI	琞
日月一口	ABMR	晍
日月一尸	ABMS	勗
日月人火	ABOF	暩
日月人山	ABOU	暚
日月廿	ABT	昷
日月山	ABU	冒
日月山土	ABUG	㬬
日月山山	ABUU	㒻晛
日月田戈	ABWI	㬭
日金戈	ACI	昖
日金戈一	ACIM	暡
日金一月金	ACMBC	顕
日金弓竹	ACNH	晜
日金尸竹	ACSH	昐
日金田日	ACWA	㬝
日木	AD	杲
日木木	ADD	晽
日木竹日火	ADHAF	鷴
日木竹中	ADHL	晰
日木戈	ADI	时
日木十	ADJ	昩
日木一手	ADMQ	暐
日木田火	ADWF	暕
日水木竹水	AEDHE	㿺
日水弓中	AENL	鄤
日水人口	AEOR	㬁
日火	AF	炅炚
日火月火	AFBF	曭
日火月口	AFBR	㫾
日火木	AFD	㫧
日火木手	AFDQ	暽
日火火	AFF	晱
日火竹竹竹	AFHHH	影
日火中弓	AFLN	㔀
日火一月金	AFMBC	顥顯
日火一月人	AFMBO	颢
日火一山	AFMU	晃晄
